suite,cell,node_shape,property_path,targetClass,class,path,nodeKind,datatype,in,or,all_correct
standardForms/package_F23,G73/H73,epo:Purpose,,YES,YES,YES,YES,NA,NA,NA,YES
standardForms/package_F06,G121/H121,epo:Contract,,NA,NA,YES,YES,NA,NA,NA,YES
standardForms/package_F03,G14/H14,<http://data.europa.eu/m8g/ContactPoint>,,YES,YES,YES,YES,NA,NA,NA,YES
standardForms/package_F20,G141/H141,epo:LotAwardOutcome,,NA,YES,YES,YES,NA,NA,NA,YES
standardForms/package_F13,G89/H89,epo:SubmissionStatisticalInformation,,NA,NA,YES,YES,YES,NA,NA,YES
standardForms/package_F13,G50/H50,epo:Procedure,,NA,NA,YES,YES,NA,NA,NA,YES
standardForms/package_F06,G168/H168,epo:Tender,,YES,YES,YES,YES,NA,NA,NA,YES
standardForms/package_F25,G98/H98,epo:SubmissionStatisticalInformation,,NA,NA,YES,YES,YES,NA,NA,YES
standardForms/package_F06,G110/H110,epo:ProcurementProcessInformation,,YES,YES,YES,YES,NA,NA,NA,YES
standardForms/package_F25,G125/H125,epo:Procedure,,NA,NA,YES,YES,NA,NA,NA,YES
standardForms/package_F22,G7/H7,org:Organization,,YES,YES,NA,YES,NA,NA,NA,YES
standardForms/package_F03,G74/H74,epo:AwardCriterion,,YES,YES,YES,YES,NA,YES,NA,YES
standardForms/package_F23,G156/H156,epo:SubmissionStatisticalInformation,,NA,NA,YES,YES,YES,NA,NA,YES
standardForms/package_F21,G49/H49,epo:ProcurementProcedureInformationProvider,,YES,YES,YES,YES,NA,NA,NA,YES
standardForms/package_F03,G148/H148,org:Organization,,YES,YES,YES,YES,NA,NA,YES,YES
standardForms/package_F03,G144/H144,epo:SubmissionStatisticalInformation,,NA,NA,YES,YES,YES,NA,NA,YES
standardForms/package_F03,G89/H89,epo:Lot,,NA,NA,YES,YES,YES,YES,NA,YES
standardForms/package_F13,G41/H41,epo:ProcedureTerm,,NA,NA,YES,YES,YES,YES,NA,YES
standardForms/package_F13,G7/H7,org:Organization,,YES,YES,NA,YES,NA,NA,NA,YES
standardForms/package_F22,G204/H204,epo:SubmissionStatisticalInformation,,NA,NA,YES,YES,YES,NA,NA,YES
standardForms/package_F23,G176/H176,epo:Lot,,NA,YES,YES,YES,NA,NA,NA,YES
standardForms/package_F03,G141/H141,epo:SubmissionStatisticalInformation,,NA,NA,YES,YES,YES,NA,NA,YES
standardForms/package_F23,G101/H101,<http://www.w3.org/ns/locn#Address>,,NA,YES,YES,YES,NA,NA,NA,YES
standardForms/package_F13,G109/H109,epo:MonetaryValue,,NA,NA,YES,YES,NA,NA,NA,YES
standardForms/package_F25,G67/H67,epo:Lot,,NA,NA,YES,YES,YES,YES,NA,YES
standardForms/package_F23,G88/H88,epo:NoticeAwardInformation,,YES,YES,YES,YES,NA,NA,NA,YES
standardForms/package_F25,G44/H44,epo:NoticeAwardInformation,,NA,YES,YES,YES,NA,NA,NA,YES
standardForms/package_F21,G43/H43,epo:AccessTerm,,YES,YES,YES,YES,YES,YES,NA,YES
standardForms/package_F13,G43/H43,org:Organization,,NA,NA,YES,YES,NA,NA,NA,YES
standardForms/package_F22,G107/H107,epo:MonetaryValue,,YES,YES,YES,YES,YES,NA,NA,YES
standardForms/package_F23,G155/H155,epo:SubmissionStatisticalInformation,,NA,NA,YES,YES,YES,NA,NA,YES
standardForms/package_F20,G148/H148,epo:AgentInRole,,YES,YES,NA,YES,NA,NA,YES,YES
standardForms/package_F03,G113/H113,epo:Procedure,,NA,NA,YES,YES,YES,YES,NA,YES
standardForms/package_F06,G40/H40,epo:ProcedureTerm,,YES,YES,YES,YES,NA,NA,NA,YES
standardForms/package_F25,G4/H4,epo:Notice,,NA,NA,YES,YES,YES,NA,NA,YES
standardForms/package_F21,G12/H12,<http://www.w3.org/ns/locn#Address>,,NA,NA,YES,YES,NA,NA,NA,YES
standardForms/package_F06,G243/H243,epo:DirectAwardTerm,,NA,NA,YES,YES,NA,NA,NA,YES
standardForms/package_F13,G39/H39,epo:Procedure,,YES,YES,YES,YES,YES,YES,NA,YES
standardForms/package_F21,G113/H113,epo:Procedure,,NA,YES,YES,YES,NA,NA,NA,YES
standardForms/package_F03,G87/H87,epo:ContractTerm,,NA,NA,YES,YES,NA,NA,NA,YES
standardForms/package_F21,G192/H192,epo:Contract,,NA,NA,YES,YES,YES,NA,NA,YES
standardForms/package_F06,G10/H10,org:Organization,,NA,YES,YES,YES,NA,NA,NA,YES
standardForms/package_F21,G162/H162,epo:FrameworkAgreementTerm,,YES,YES,YES,YES,NA,NA,NA,YES
standardForms/package_F21,G124/H124,epo:Lot,,NA,YES,YES,YES,NA,NA,NA,YES
standardForms/package_F23,G180/H180,epo:Tender,,YES,YES,YES,YES,NA,NA,NA,YES
standardForms/package_F20,G124/H124,epo:Procedure,,NA,YES,YES,YES,NA,NA,NA,YES
standardForms/package_F03,G168/H168,epo:SubmissionStatisticalInformation,,NA,YES,YES,YES,NA,NA,NA,YES
standardForms/package_F25,G91/H91,epo:TenderAwardOutcome,,NA,YES,YES,YES,NA,NA,NA,YES
standardForms/package_F22,G12/H12,<http://www.w3.org/ns/locn#Address>,,NA,NA,YES,YES,NA,NA,NA,YES
standardForms/package_F22,G40/H40,epo:ProcedureTerm,,YES,YES,YES,YES,NA,NA,NA,YES
eforms/package_can_v1.4,I138/J138,epo:ContractTerm,,YES,YES,YES,YES,YES,NA,NA,YES
eforms/package_cn_v1.9,I350/J350,epo:AccessTerm,,YES,YES,YES,YES,YES,NA,NA,YES
eforms/package_can_v1.8,I321/J321,<http://data.europa.eu/m8g/ContactPoint>,,NA,NA,YES,YES,NA,NA,NA,YES
eforms/package_can_v1.3,I218/J218,epo:ReviewProcedureInformationProvider,,NA,YES,YES,YES,NA,NA,NA,YES
eforms/package_cn_v1.3,I23/J23,epo:Notice,,NA,NA,YES,YES,YES,NA,NA,YES
eforms/package_can_v1.7,I108/J108,epo:ContractTerm,,NA,NA,YES,YES,NA,NA,NA,YES
eforms/package_cn_v1.8,I125/J125,epo:Quantity,,NA,NA,YES,YES,NA,NA,NA,YES
eforms/package_cn_v1.4,I350/J350,epo:ProcurementProcedureInformationProvider,,YES,YES,YES,YES,NA,NA,NA,YES
eforms/package_cn_v1.4,I282/J282,epo:SubcontractTerm,,YES,YES,YES,YES,NA,NA,NA,YES
eforms/package_cn_v1.9,I107/J107,epo:ProcedureTerm,,NA,NA,YES,YES,YES,NA,NA,YES
eforms/package_cn_v1.8,I345/J345,epo:SubmissionTerm,,NA,NA,YES,YES,NA,NA,NA,YES
eforms/package_can_v1.8,I182/J182,epo:TaxInformationProvider,,YES,YES,YES,YES,NA,NA,YES,YES
eforms/package_cn_v1.3,I401/J401,epo:ChangeInformation,,YES,YES,YES,YES,NA,NA,NA,YES
eforms/package_can_v1.5,I207/J207,epo:Procedure,,NA,YES,YES,YES,NA,NA,YES,YES
eforms/package_cn_v1.5,I88/J88,epo:ExclusionGround,,NA,NA,YES,YES,NA,NA,NA,YES
eforms/package_can_v1.3,I150/J150,epo:Lot,,NA,NA,YES,YES,YES,NA,NA,YES
eforms/package_can_v1.10,I442/J442,epo:LotAwardOutcome,,NA,YES,YES,YES,NA,NA,NA,YES
eforms/package_cn_v1.5,I184/J184,epo:FrameworkAgreementTerm,,NA,NA,YES,YES,NA,NA,NA,YES
eforms/package_can_v1.5,I57/J57,epo:Procedure,,NA,YES,YES,YES,NA,NA,NA,YES
eforms/package_cn_v1.7,I144/J144,epo:ContractTerm,,NA,YES,YES,YES,NA,NA,NA,YES
eforms/package_can_v1.6,I89/J89,epo:Procedure,,NA,NA,YES,YES,NA,NA,NA,YES
eforms/package_can_v1.3,I223/J223,epo:Mediator,,NA,YES,YES,YES,NA,NA,NA,YES
eforms/package_cn_v1.8,I298/J298,epo:SubmissionTerm,,NA,NA,YES,YES,YES,NA,NA,YES
eforms/package_can_v1.6,I10/J10,epo:Notice,,NA,NA,YES,YES,NA,NA,NA,YES
eforms/package_cn_v1.8,I372/J372,epo:ProcurementProcedureInformationProvider,,NA,YES,YES,YES,NA,NA,NA,YES
eforms/package_can_v1.3,I386/J386,epo:SubmissionStatisticalInformation,,YES,YES,YES,YES,NA,NA,NA,YES
eforms/package_can_v1.8,I333/J333,<http://data.europa.eu/m8g/ContactPoint>,,NA,YES,YES,YES,NA,NA,NA,YES
eforms/package_can_v1.6,I424/J424,epo:VehicleInformation,,NA,NA,YES,YES,YES,NA,NA,YES
eforms/package_can_v1.9,I435/J435,epo:AwardDecision,,NA,YES,YES,YES,NA,NA,NA,YES
eforms/package_cn_v1.4,I409/J409,epo:ChangeInformation,,NA,NA,YES,YES,NA,NA,NA,YES
eforms/package_cn_v1.8,I161/J161,<http://www.w3.org/ns/locn#Address>,,NA,NA,YES,YES,NA,NA,NA,YES
eforms/package_can_v1.8,I212/J212,epo:AwardCriterion,,NA,NA,YES,YES,YES,NA,NA,YES
eforms/package_can_v1.4,I411/J411,epo:VehicleInformation,,NA,NA,YES,YES,YES,NA,NA,YES
eforms/package_can_v1.8,I242/J242,epo:Reviewer,,NA,YES,YES,YES,NA,NA,NA,YES
eforms/package_can_v1.8,I137/J137,epo:ContractTerm,,NA,YES,YES,YES,NA,NA,NA,YES
eforms/package_can_v1.5,I346/J346,epo:PurchaseContract,,YES,YES,YES,YES,NA,NA,NA,YES
eforms/package_cn_v1.5,I248/J248,epo:ContractTerm,,NA,NA,YES,YES,NA,NA,NA,YES
eforms/package_can_v1.6,I36/J36,epo:ProcurementServiceProvider,,NA,YES,YES,YES,NA,NA,NA,YES
eforms/package_cn_v1.5,I54/J54,epo:Procedure,,NA,NA,YES,YES,NA,NA,NA,YES
eforms/package_cn_v1.9,I468/J468,org:Organization,,NA,YES,YES,YES,NA,NA,NA,YES
eforms/package_cn_v1.5,I333/J333,epo:OpeningTerm,,YES,YES,YES,YES,YES,NA,NA,YES
eforms/package_cn_v1.5,I102/J102,epo:Procedure,,NA,NA,YES,YES,NA,NA,NA,YES
eforms/package_can_v1.3,I167/J167,epo:EnvironmentalProtectionInformationProvider,,YES,YES,YES,YES,NA,NA,NA,YES
eforms/package_cn_v1.4,I227/J227,epo:AwardCriterion,,NA,NA,YES,YES,NA,NA,NA,YES
eforms/package_cn_v1.4,I395/J395,epo:LotGroup,,NA,YES,YES,YES,NA,NA,NA,YES
eforms/package_can_v1.4,I51/J51,epo:Procedure,,NA,NA,YES,YES,NA,NA,NA,YES
eforms/package_cn_v1.3,I11/J11,epo:Notice,,NA,NA,YES,YES,NA,NA,NA,YES
eforms/package_cn_v1.6,I245/J245,epo:AwardEvaluationTerm,,NA,NA,YES,YES,NA,NA,NA,YES
