source,package,FNI_total,FNI_CM-RML-OWL,FNI_RML-CM-OWL,FNI_CM+RML-OWL,FNI_CM+OWL-RML,FNI_RML+OWL-CM,PVI_total,PVI_CM-RML-OWL,PVI_RML-CM-OWL,PVI_CM+RML-OWL,PVI_CM+OWL-RML,PVI_RML+OWL-CM,PVCI_total,PVCI_CM-RML-OWL,PVCI_RML-CM-OWL,PVCI_CM+RML-OWL,PVCI_CM+OWL-RML,PVCI_RML+OWL-CM
standardForms,package_F03,12,0,0,0,0,12,55,0,12,8,0,35,28,4,5,19,0,0
standardForms,package_F06,12,0,0,0,0,12,57,0,12,8,0,37,28,4,5,19,0,0
standardForms,package_F13,21,0,0,0,0,21,52,0,5,4,0,43,19,2,3,14,0,0
standardForms,package_F20,18,0,0,0,1,17,65,0,19,9,0,37,23,4,6,13,0,0
standardForms,package_F21,6,0,0,0,2,4,36,0,3,10,0,23,39,7,7,25,0,0
standardForms,package_F22,5,0,0,0,1,4,38,0,4,9,0,25,39,7,8,24,0,0
standardForms,package_F23,10,0,0,0,1,9,40,0,4,7,0,29,33,5,5,23,0,0
standardForms,package_F25,14,0,0,0,0,14,53,0,11,8,0,34,27,2,4,21,0,0
eforms,package_can_v1.10,19,0,1,0,1,17,33,0,2,3,1,27,153,29,52,72,0,0
eforms,package_can_v1.3,18,0,1,0,0,17,48,0,2,3,1,42,142,25,49,68,0,0
eforms,package_can_v1.4,18,0,1,0,0,17,47,0,2,3,1,41,143,25,49,69,0,0
eforms,package_can_v1.5,18,0,1,0,0,17,52,0,2,3,1,46,141,25,49,67,0,0
eforms,package_can_v1.6,18,0,1,0,0,17,45,0,2,3,1,39,145,27,49,69,0,0
eforms,package_can_v1.7,18,0,1,0,0,17,45,0,2,3,1,39,145,27,49,69,0,0
eforms,package_can_v1.8,18,0,1,0,0,17,38,0,2,3,1,32,148,27,51,70,0,0
eforms,package_can_v1.9,19,0,1,0,1,17,33,0,2,3,1,27,153,29,52,72,0,0
eforms,package_cn_v1.10,2,0,0,0,2,0,9,0,2,1,3,3,139,26,29,84,0,0
eforms,package_cn_v1.3,5,0,0,0,2,3,16,0,2,1,3,10,135,24,30,81,0,0
eforms,package_cn_v1.4,5,0,0,0,2,3,15,0,2,1,3,9,136,24,30,82,0,0
eforms,package_cn_v1.5,4,0,0,0,2,2,13,0,2,1,3,7,137,26,29,82,0,0
eforms,package_cn_v1.6,4,0,0,0,2,2,13,0,2,1,3,7,137,26,29,82,0,0
eforms,package_cn_v1.7,4,0,0,0,2,2,13,0,2,1,3,7,137,26,29,82,0,0
eforms,package_cn_v1.8,4,0,0,0,2,2,11,0,2,1,3,5,137,26,29,82,0,0
eforms,package_cn_v1.9,2,0,0,0,2,0,9,0,2,1,3,3,139,26,29,84,0,0
standardForms,Average,12.25,0.0,0.0,0.0,0.62,11.62,49.5,0.0,8.75,7.88,0.0,32.88,29.5,4.38,5.38,19.75,0.0,0.0
eforms,Average,11.0,0.0,0.5,0.0,1.12,9.38,27.5,0.0,2.0,2.0,2.0,21.5,141.69,26.12,39.62,75.94,0.0,0.0
