source,package,FNI_total,FNI_CM-RML-OWL,FNI_RML-CM-OWL,FNI_CM+RML-OWL,FNI_CM+OWL-RML,FNI_RML+OWL-CM,PVI_total,PVI_CM-RML-OWL,PVI_RML-CM-OWL,PVI_CM+RML-OWL,PVI_CM+OWL-RML,PVI_RML+OWL-CM,PVCI_total,PVCI_CM-RML-OWL,PVCI_RML-CM-OWL,PVCI_CM+RML-OWL,PVCI_CM+OWL-RML,PVCI_RML+OWL-CM
standardForms,package_F03,13,0,0,0,1,12,55,0,13,7,0,35,8,2,0,1,1,4
standardForms,package_F06,13,0,0,0,1,12,57,0,13,7,0,37,8,2,0,1,1,4
standardForms,package_F13,22,0,0,0,1,21,51,0,6,3,0,42,6,1,0,1,1,3
standardForms,package_F20,19,0,0,0,2,17,65,0,20,8,0,37,11,2,0,3,1,5
standardForms,package_F21,7,0,0,0,3,4,36,0,4,9,0,23,14,2,1,5,3,3
standardForms,package_F22,6,0,0,0,2,4,38,0,5,8,0,25,16,2,1,5,4,4
standardForms,package_F23,11,0,0,0,2,9,40,0,5,6,0,29,12,1,1,4,4,2
standardForms,package_F25,15,0,0,0,1,14,53,0,12,7,0,34,9,1,0,3,1,4
eforms,package_can_v1.10,19,0,1,0,1,17,32,0,2,2,1,27,27,0,1,4,7,15
eforms,package_can_v1.3,18,0,1,0,0,17,47,0,2,2,1,42,25,0,1,4,6,14
eforms,package_can_v1.4,18,0,1,0,0,17,46,0,2,2,1,41,25,0,1,4,6,14
eforms,package_can_v1.5,18,0,1,0,0,17,51,0,2,2,1,46,25,0,1,4,6,14
eforms,package_can_v1.6,18,0,1,0,0,17,44,0,2,2,1,39,25,0,1,4,6,14
eforms,package_can_v1.7,18,0,1,0,0,17,44,0,2,2,1,39,25,0,1,4,6,14
eforms,package_can_v1.8,18,0,1,0,0,17,37,0,2,2,1,32,26,0,1,4,6,15
eforms,package_can_v1.9,19,0,1,0,1,17,32,0,2,2,1,27,27,0,1,4,7,15
eforms,package_cn_v1.10,2,0,0,0,2,0,8,0,2,0,3,3,11,0,1,4,5,1
eforms,package_cn_v1.3,5,0,0,0,2,3,13,0,2,0,3,8,12,0,1,4,5,2
eforms,package_cn_v1.4,5,0,0,0,2,3,12,0,2,0,3,7,12,0,1,4,5,2
eforms,package_cn_v1.5,4,0,0,0,2,2,10,0,2,0,3,5,11,0,1,4,5,1
eforms,package_cn_v1.6,4,0,0,0,2,2,10,0,2,0,3,5,11,0,1,4,5,1
eforms,package_cn_v1.7,4,0,0,0,2,2,10,0,2,0,3,5,11,0,1,4,5,1
eforms,package_cn_v1.8,4,0,0,0,2,2,10,0,2,0,3,5,11,0,1,4,5,1
eforms,package_cn_v1.9,2,0,0,0,2,0,8,0,2,0,3,3,11,0,1,4,5,1
standardForms,Average,13.25,0.0,0.0,0.0,1.62,11.62,49.38,0.0,9.75,6.88,0.0,32.75,10.5,1.62,0.38,2.88,2.0,3.62
eforms,Average,11.0,0.0,0.5,0.0,1.12,9.38,25.88,0.0,2.0,1.0,2.0,20.88,18.44,0.0,1.0,4.0,5.62,7.81
